Product_id,Sales_USD,quantity,Price_USD,COGS_USD,Date_Time,Account_id
2625,16156.56,502,32.18438247,14104.67688,3/29/2024,1599-E6G-78670
2569,13831.29,679.92,20.34252559,10470.28653,7/13/2022,1227--40
2195,17402.14,925.66,18.79971048,10528.2947,4/5/2023,1857--758
2530,15866.42,809.78,19.59349453,12883.53304,9/24/2022,1793-6140-77
2889,6200.48,311.43,19.90970684,5388.21712,10/19/2023,1725-40230-69
2917,12922.96,765.03,16.89209573,7469.47088,7/14/2023,1381-52120-1971
2842,7341.82,655.26,11.20443793,5014.46306,7/20/2022,1175-763029-6614
2418,15192.87,716.74,21.19718447,8325.69276,10/13/2023,1537-60901-7
2016,10912.96,487.51,22.38509979,6231.30016,4/13/2024,1213--612
2332,12225.87,671.64,18.20301054,7677.84636,6/11/2023,2606--4
2420,11971.88,244.34,48.99680773,5818.33368,9/15/2022,1222-1266-45327
2616,11273.93,318.68,35.37696122,7542.25917,4/11/2023,2151-275038-3
2498,10230.19,536.38,19.07265372,5289.00823,11/26/2023,2205--6396
2122,12139.31,480.42,25.26811956,10342.69212,3/7/2023,1785-37-230-299
2117,14083.18,574.29,24.52276724,9351.23152,1/21/2024,1561-87078-37437
2578,5944.2,147.4,40.32700136,2752.1646,3/12/2023,2224--74395
2453,18412.85,26.11,705.2029874,13809.6375,4/22/2023,1846-3303-33
2832,8469.87,210.06,40.32119394,5530.82511,8/13/2023,1383-7159-2
2576,13492.37,526.36,25.6333498,4277.08129,7/21/2022,2277--2685
2739,13953.34,75.03,185.9701453,4660.41556,9/9/2022,1569--75
2700,8948.17,449.29,19.91624563,5816.3105,2/19/2023,1029--8
2779,7250.41,35.54,204.0070343,5437.8075,2/15/2023,2090--73231
2645,8269.8,532.42,15.53247436,6789.5058,3/4/2023,1750-996-0087-796
2797,18702.86,492.5,37.97535025,8135.7441,5/14/2022,1686-4640-580-41
2400,17388.8,675.53,25.74097375,8572.6784,2/22/2023,1309-165 60-23213
2194,8381.46,695.86,12.04475038,3570.50196,3/30/2022,1389-34-480-18
2121,18237.21,995.12,18.32664402,11580.62835,1/1/2022,1121-953 34-32
2695,13076.64,109.26,119.6836903,6276.7872,9/28/2023,1124-92901 CEDEX-37046
26091,13364.89,773.05,17.2885195,9542.53146,1/4/2022,1035--1
2083,10176.32,214.97,47.33832628,4538.63872,10/11/2023,2012-M4H-80
2021,11467.91,846.07,13.55432766,7637.62806,2/27/2023,2084-5889-4
2950,18837.12,376.97,49.96981192,8194.1472,2/1/2024,2110-37810-000-2
2118,9106.47,251.85,36.15830852,5828.1408,3/11/2023,1446--79215
2877,9901.55,305.3,32.43219784,7049.9036,1/22/2022,2042--5
2750,8496.6,721.58,11.77499376,6788.7834,2/9/2024,1679--68976
2434,14665.62,345.78,42.41315287,12715.09254,10/17/2022,2307--3995
2810,13475.29,486.49,27.69900717,11710.02701,12/25/2023,1219--665
2171,10979.25,113.69,96.5718181,4051.34325,2/3/2022,1380--8705
2392,19546.94,799.97,24.4345913,16204.41326,7/29/2022,1767--94
2969,14077.38,53.11,265.0608172,9488.15412,5/13/2023,1853-2950-137-70
2621,8316.85,930.62,8.936891535,5322.784,10/21/2022,1915--45183
2831,8794.18,296.95,29.61501936,4186.02968,8/31/2022,1422--865
2798,18623.29,45.96,405.2064839,12309.99469,8/6/2022,1294-33-140-3
2595,16802.68,14.08,1193.372159,10333.6482,10/28/2022,2558-3070-605-8
2125,16549.03,469.08,35.27976038,13057.18467,10/18/2022,1974-1209-95
2782,19120.5,978.27,19.54521758,7839.405,3/24/2023,1265-45886-4
2545,19468.65,571.73,34.05217498,9325.48335,1/19/2022,1313--3
2583,19439.29,249.67,77.85993511,16931.62159,11/18/2022,2572-2614-1
2894,8909.62,994.6,8.957993163,5390.3201,5/3/2022,1633--58721
2317,8684.83,949.24,9.149245712,5801.46644,8/6/2023,1697--2836
2196,8923.16,997.17,8.94848421,5692.97608,2/24/2023,1976--212
2604,5073.88,782.14,6.487176209,2161.47288,8/23/2022,1486--5
2400,8917.07,165.66,53.82753833,6152.7783,8/4/2022,2231--9
2866,9749.01,218.76,44.56486561,5391.20253,4/10/2022,1213--612
2799,14430.73,409.19,35.26657543,6796.87383,2/3/2024,1569--75
2557,16987.04,996.05,17.0544049,12349.57808,6/26/2022,2153--27765
2927,16097.14,238.65,67.45082757,8145.15284,10/8/2022,2075--3207
2023,15272.57,276.8,55.17546965,5543.94291,11/27/2023,1960--7113
2140,12304.86,995.42,12.36147556,7505.9646,3/26/2022,1782-26003 CEDEX-33134
2769,14726.83,94.48,155.8724598,5728.73687,6/30/2022,1907--9
2356,11188.52,269.04,41.58682724,4385.89984,6/12/2023,1279-30034 CEDEX 1-9
2151,5034.39,867.41,5.803933549,2295.68184,7/29/2022,1989-5163-594
2128,12293.19,508.73,24.16446838,3946.11399,3/22/2022,2024-94269 CEDEX-4224
2316,11920.25,215.02,55.43786625,7056.788,8/22/2023,1387--9
